record_id,scenario_id,case_id,layer,task_type,endpoint_family,condition,reference_answerability,reference_outcome,reference_basis,source_label,reference_quality_flag,disputed_reference,dispute_reason,source_scenario_path,source_ground_truth_path
L1-0041,S008,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S008_structure_waiver.jsonc,data/main/layer1/references/S008_violations.json
L1-0042,S008,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S008_structure_waiver.jsonc,data/main/layer1/references/S008_violations.json
L1-0043,S008,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S008_structure_waiver.jsonc,data/main/layer1/references/S008_violations.json
L1-0044,S009,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S009_speed_limit.jsonc,data/main/layer1/references/S009_violations.json
L1-0045,S009,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S009_speed_limit.jsonc,data/main/layer1/references/S009_violations.json
L1-0046,S009,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,DISPUTED_SOURCE_LABEL,1,The command value 27.78 m/s converts to 100.008 km/h; the source label depends on comparison before display rounding.,data/main/layer1/scenarios/S009_speed_limit.jsonc,data/main/layer1/references/S009_violations.json
L1-0047,S009,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S009_speed_limit.jsonc,data/main/layer1/references/S009_violations.json
L1-0048,S009,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S009_speed_limit.jsonc,data/main/layer1/references/S009_violations.json
L1-0049,S009,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S009_speed_limit.jsonc,data/main/layer1/references/S009_violations.json
L1-0050,S010,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S010_zone_speed_limits.jsonc,data/main/layer1/references/S010_violations.json
L1-0051,S010,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S010_zone_speed_limits.jsonc,data/main/layer1/references/S010_violations.json
L1-0052,S010,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S010_zone_speed_limits.jsonc,data/main/layer1/references/S010_violations.json
L1-0053,S010,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,DISPUTED_SOURCE_LABEL,1,"The straight segment from (0,0) to (500,500) intersects the residential speed zone, contrary to the frozen source label's stated path classification.",data/main/layer1/scenarios/S010_zone_speed_limits.jsonc,data/main/layer1/references/S010_violations.json
L1-0054,S011,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0055,S011,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0056,S011,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0057,S011,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0058,S011,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0059,S011,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0060,S011,TC7,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0061,S011,TC8,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S011_night_flight.jsonc,data/main/layer1/references/S011_violations.json
L1-0062,S012,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S012_time_window.jsonc,data/main/layer1/references/S012_violations.json
L1-0063,S012,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S012_time_window.jsonc,data/main/layer1/references/S012_violations.json
L1-0064,S012,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S012_time_window.jsonc,data/main/layer1/references/S012_violations.json
L1-0065,S012,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S012_time_window.jsonc,data/main/layer1/references/S012_violations.json
L1-0066,S012,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S012_time_window.jsonc,data/main/layer1/references/S012_violations.json
L1-0067,S013,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S013_vlos_requirement.jsonc,data/main/layer1/references/S013_violations.json
L1-0068,S013,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S013_vlos_requirement.jsonc,data/main/layer1/references/S013_violations.json
L1-0069,S013,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,DISPUTED_SOURCE_LABEL,1,"The source configuration says three-dimensional VLOS distance, while the frozen label treats the 500 m horizontal-distance case as compliant.",data/main/layer1/scenarios/S013_vlos_requirement.jsonc,data/main/layer1/references/S013_violations.json
L1-0070,S013,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S013_vlos_requirement.jsonc,data/main/layer1/references/S013_violations.json
L1-0071,S013,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S013_vlos_requirement.jsonc,data/main/layer1/references/S013_violations.json
L1-0072,S014,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S014_bvlos_waiver.jsonc,data/main/layer1/references/S014_violations.json
L1-0073,S014,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S014_bvlos_waiver.jsonc,data/main/layer1/references/S014_violations.json
L1-0074,S014,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S014_bvlos_waiver.jsonc,data/main/layer1/references/S014_violations.json
L1-0075,S014,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S014_bvlos_waiver.jsonc,data/main/layer1/references/S014_violations.json
L1-0076,S014,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S014_bvlos_waiver.jsonc,data/main/layer1/references/S014_violations.json
L1-0077,S014,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S014_bvlos_waiver.jsonc,data/main/layer1/references/S014_violations.json
L1-0078,S015,TC1_PathBlocked_FrontNFZ,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S015_dynamic_nfz_avoidance.jsonc,data/main/layer1/references/S015_violations.json
L1-0079,S015,TC2_PathClear_OffsetNFZ,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S015_dynamic_nfz_avoidance.jsonc,data/main/layer1/references/S015_violations.json
L1-0080,S015,TC3_MultipleNFZ_BothBlocked,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S015_dynamic_nfz_avoidance.jsonc,data/main/layer1/references/S015_violations.json
L1-0081,S015,TC4_ShortPath_NoConflict,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S015_dynamic_nfz_avoidance.jsonc,data/main/layer1/references/S015_violations.json
L1-0082,S015,TC5_EdgeCase_NearBoundary,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S015_dynamic_nfz_avoidance.jsonc,data/main/layer1/references/S015_violations.json
L1-0083,S015,TC6_Diagonal_PathConflict,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S015_dynamic_nfz_avoidance.jsonc,data/main/layer1/references/S015_violations.json
L1-0084,S016,TC1_DirectApproach_StopBeforeObstacle,1,IN_FLIGHT_CONTINGENCY,CONTINGENCY_ACTION,RAW,ANSWERABLE,STOP_AND_HOVER,DETERMINISTIC,APPROVE_WITH_STOP,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S016_realtime_obstacle_avoidance.jsonc,data/main/layer1/references/S016_violations.json
L1-0085,S016,TC2_NoObstacle_CompleteFlightPath,1,IN_FLIGHT_CONTINGENCY,CONTINGENCY_ACTION,RAW,ANSWERABLE,CONTINUE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S016_realtime_obstacle_avoidance.jsonc,data/main/layer1/references/S016_violations.json
L1-0086,S016,TC3_OffsetPath_PassSafely,1,IN_FLIGHT_CONTINGENCY,CONTINGENCY_ACTION,RAW,ANSWERABLE,CONTINUE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S016_realtime_obstacle_avoidance.jsonc,data/main/layer1/references/S016_violations.json
L1-0087,S016,TC4_MultipleObstacles_StopAtFirst,1,IN_FLIGHT_CONTINGENCY,CONTINGENCY_ACTION,RAW,ANSWERABLE,STOP_AND_HOVER,DETERMINISTIC,APPROVE_WITH_STOP,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S016_realtime_obstacle_avoidance.jsonc,data/main/layer1/references/S016_violations.json
L1-0088,S016,TC5_DiagonalPath_DetectTower,1,IN_FLIGHT_CONTINGENCY,CONTINGENCY_ACTION,RAW,ANSWERABLE,STOP_AND_HOVER,DETERMINISTIC,APPROVE_WITH_STOP,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S016_realtime_obstacle_avoidance.jsonc,data/main/layer1/references/S016_violations.json
