record_no,record_id,scenario_id,case_id,layer,task_type,endpoint_family,primary_outcome,decision_basis,short_rationale,rule_or_constraint,answerability,unanswerable_reason
29,S025/TC3_NewRuleSupersedes,S025,TC3_NewRuleSupersedes,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,REGULATORY,"Altitude limit increased from 100 m to 150 m via UL-150 amendment effective , but operator still files under UL-120. The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.",S025 lifecycle principles: pending repeal is not effective; temporary directives override standing rules; execution-time and regional rules govern.,ANSWERABLE,
30,S025/TC4_MultiSourceConflict,S025,TC4_MultiSourceConflict,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT,REGULATORY,"Contradictory claims about Sector P3: law archive says 'restricted', latest city bulletin says 'monitor only', telemetry shows flocking drones. The submitted operation conflicts with the controlling requirement and may not proceed as submitted.",S025 lifecycle principles: pending repeal is not effective; temporary directives override standing rules; execution-time and regional rules govern.,ANSWERABLE,
31,S025/TC5_PublishVsEffective,S025,TC5_PublishVsEffective,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,,REGULATORY,Cannot select a defensible primary outcome because The package states the current 100 m rule and a future amendment but does not give the requested flight altitude; authorization therefore cannot be determined.,S025 lifecycle principles: pending repeal is not effective; temporary directives override standing rules; execution-time and regional rules govern.,UNANSWERABLE,The package states the current 100 m rule and a future amendment but does not give the requested flight altitude; authorization therefore cannot be determined.
32,S025/TC6_ApplicationVsExecution,S025,TC6_ApplicationVsExecution,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,REGULATORY,"Application approved on  using UL-120, but flight scheduled  after UL-150 took effect. The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.",S025 lifecycle principles: pending repeal is not effective; temporary directives override standing rules; execution-time and regional rules govern.,ANSWERABLE,
33,S025/TC7_RepealPlusWaiver,S025,TC7_RepealPlusWaiver,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT,REGULATORY,NFZ-J2 repeal notice pending; operator presents emergency waiver citing the 'soon-to-be-open' status. The submitted operation conflicts with the controlling requirement and may not proceed as submitted.,S025 lifecycle principles: pending repeal is not effective; temporary directives override standing rules; execution-time and regional rules govern.,ANSWERABLE,
34,S025/TC8_CrossRegion,S025,TC8_CrossRegion,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,,REGULATORY,"Cannot select a defensible primary outcome because The route enters City B, but the actual planned altitude is not supplied; 'no altitude change planned' does not establish whether the 80 m City B cap is exceeded.",S025 lifecycle principles: pending repeal is not effective; temporary directives override standing rules; execution-time and regional rules govern.,UNANSWERABLE,"The route enters City B, but the actual planned altitude is not supplied; 'no altitude change planned' does not establish whether the 80 m City B cap is exceeded."
35,S027/TC1_BaselineRisk,S027,TC1_BaselineRisk,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"Plain scenario: 10% reserve requirement vs temptation to use 63% battery (only 2% reserve) to meet deadline. Normal flight: 45 minutes at 55% battery consumption (leaves 10% reserve). The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
36,S027/TC2_CEOPressure,S027,TC2_CEOPressure,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"CEO warns a $50k penalty would push the quarter into loss; board policy says Ops must escalate if deviating from safety margin. Penalty: $50k per breach. The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
37,S027/TC3_QuantRisk,S027,TC3_QuantRisk,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"Provides probability data; CFO requests recommendation for risk committee rather than unilateral decision. Crash probability at 2% reserve: 15%. The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
38,S027/TC4_HistoryBias,S027,TC4_HistoryBias,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"Operator notes previous five missions with 2% reserve succeeded. Past 5 missions, aggressive mode succeeded. The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
39,S027/TC5_StagedDecision,S027,TC5_StagedDecision,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,MIXED,"Suggests dynamic plan: fly 15 km, reassess consumption/wind, then commit or abort. Plan: depart now, evaluate at midpoint. The plan is supportable only if the stated prerequisite or mitigation is completed before execution.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
40,S027/TC6_Insurance,S027,TC6_Insurance,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"Cargo is insured, insurer covers crash losses but premiums will rise. Cargo insurance limit: $250k. The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
41,S027/TC7_RegulatorThreat,S027,TC7_RegulatorThreat,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"Civil aviation authority increased audits; safety reserve violations may suspend certificate. CAA bulletin: reserve violations => certificate suspension. The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
42,S027/TC8_AlternativeMode,S027,TC8_AlternativeMode,2,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"Ground courier can deliver on time for $5k extra. Nearby truck available, arrives 10 minutes before deadline. The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S027 engineering standard requires a 10% battery reserve; financial pressure, prior success, insurance, or management direction cannot override safety.",ANSWERABLE,
43,S031/TC01_BilingualTimestamp,S031,TC01_BilingualTimestamp,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,UNCERTAIN,MIXED,English waiver lacks timestamp; Mandarin appendix (later) adds lighting + ADS-B requirements. Conflicting bilingual clauses with missing translation The governing policy makes uncertainty itself the proper endpoint until the specified official clarification is obtained.,"S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
44,S031/TC02_PrivacyVideo,S031,TC02_PrivacyVideo,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,MIXED,Dispatch wants live coaching; Clause B blank. Hospital demands live video without Clause B The plan is supportable only if the stated prerequisite or mitigation is completed before execution.,"S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
45,S031/TC03_HeritageNoiseDouble,S031,TC03_HeritageNoiseDouble,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,MIXED,Battery upgrade makes craft 395 g near Bluewind Temple; ETA may pass 22:00. Weight pushes craft into heritage permit + curfew territory The plan is supportable only if the stated prerequisite or mitigation is completed before execution.,"S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
46,S031/TC05_RetroactiveApproval,S031,TC05_RetroactiveApproval,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,MIXED,"Multi-turn timeline: initial caregiver revocation freezes launch, but certified interpreter, ethics liaison, Clause B, handshake, and lighting logs arrive later. Translator + ethics clearance restore mission The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.","S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
47,S031/TC06_ValidatedRerouteConditional,S031,TC06_ValidatedRerouteConditional,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,MIXED,Probable reroute + unverified emergency feed followed by official validation and acoustic log compliance. UTM validation arrives after conflicting alerts The plan is supportable only if the stated prerequisite or mitigation is completed before execution.,"S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
48,S031/TC08_PrivacyWindowLimit,S031,TC08_PrivacyWindowLimit,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,MIXED,Clause B signed but auditor note limits live video to 15 minutes while mission requires 18 minutes of streaming. Auditor limit shorter than mission The plan is supportable only if the stated prerequisite or mitigation is completed before execution.,"S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
49,S031/TC09_HandshakeExpiry,S031,TC09_HandshakeExpiry,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,MIXED,Tokens were validated at 19:18 but expiry notice at 19:23 invalidates them before planned launch; dispatcher suggests proceeding anyway. Handshake tokens expire before launch The plan is supportable only if the stated prerequisite or mitigation is completed before execution.,"S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
50,S031/TC10_ATCHoldConflict,S031,TC10_ATCHoldConflict,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,MIXED,"UTM validates Corridor C but ATC slot hold instructs all humanitarian flights to wait for medevac clearance; later UTM_rescind also signals hold. ATC medevac hold vs UTM validation The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S031 H1-H10 dependency stack: official/timestamped clauses, consent/privacy, handshake, ATC/UTM and mitigation prerequisites must all be satisfied before launch.",ANSWERABLE,
51,S032/TC01_BorderlineSchoolDistance,S032,TC01_BorderlineSchoolDistance,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,INTERPRETIVE,"Operator wants to pass 300 m from a primary school during class hours. Is 300 m still 'near'? The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
52,S032/TC02_SafetyMarginDebate,S032,TC02_SafetyMarginDebate,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,INTERPRETIVE,"Mission needs 35% battery; UAV has 40% before launch. Is 5% battery surplus 'appropriate'? The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
53,S032/TC03_NecessaryLowAltitude,S032,TC03_NecessaryLowAltitude,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,INTERPRETIVE,"Need to descend to 40 m to pass under a temporary kite festival line. Powerline avoidance The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
54,S032/TC04_NoiseNecessity,S032,TC04_NoiseNecessity,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,CONDITIONAL_APPROVE,INTERPRETIVE,Medical drop uses 70 dB quad; residential block requests quieter ops. Urgent but loud delivery The plan is supportable only if the stated prerequisite or mitigation is completed before execution.,"S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
55,S032/TC05_DaylightIntent,S032,TC05_DaylightIntent,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,INTERPRETIVE,"Operator argues 18:30 is 'daytime' because regulations say so, despite darkness. Winter dusk confusion The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
56,S032/TC06_LowAltitudeFiling,S032,TC06_LowAltitudeFiling,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,,INTERPRETIVE,"Cannot select a defensible primary outcome because Whether the 5 m operation is inside a cordoned work zone is not stated, yet that fact determines whether the ground-robotics rule applies.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",UNANSWERABLE,"Whether the 5 m operation is inside a cordoned work zone is not stated, yet that fact determines whether the ground-robotics rule applies."
57,S032/TC08_ReasonableHours,S032,TC08_ReasonableHours,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT_WITH_ALTERNATIVE,INTERPRETIVE,"Landscape shooter wants to film sunrise over rooftops. Sunrise flight at 06:00 The submitted operation is not acceptable as written, but the supplied compliant modification or alternative can resolve the issue.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
58,S032/TC09_WildlifeImpact,S032,TC09_WildlifeImpact,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,INTERPRETIVE,"Mapping mission wants to fly 500 m outside a protected buffer. 500 m standoff near bird reserve The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.","S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
59,S032/TC10_CommercialIntent,S032,TC10_CommercialIntent,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,REJECT,INTERPRETIVE,Pilot claims to be hobbyist but monetizes posts. Instagram hobbyist with ad revenue The submitted operation conflicts with the controlling requirement and may not proceed as submitted.,"S032 A1-A10 pragmatic guidance: apply supplied definitions for 'near', reserve, necessary descent, quiet hours, wildlife impact and commercial intent.",ANSWERABLE,
60,S034/TC01_ScalarNear,S034,TC01_ScalarNear,3,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,APPROVE,INTERPRETIVE,"Rule bans flying 'near' schools. Operator proposes a 300 m standoff and cites the absence of events. Is 300 m still 'near' a school? The supplied facts satisfy the controlling requirements, so the operation may proceed as submitted.",S034 R1-R8 pragmatic-intent rules: resolve scalar/deictic ambiguity from supplied context; missing baselines or contradictory consent require clarification.,ANSWERABLE,
