case_id,model_id,raw_answerability,raw_outcome,raw_basis,rag_answerability,rag_outcome,rag_basis,action_transition,K_delta,M_treatment_delta,unsupported_claim_delta,certainty_delta,rag_evidence_use,decision_time_discipline,overconfidence_flags,pair_type,illustrative_quote
S055,glm52_flagship,ANSWERABLE,SELECT_A,INTERPRETIVE,ANSWERABLE,SELECT_A,MIXED,SELECT_A -> SELECT_A,+E01 +E02 +E03,M1 changed from not mentioned to mentioned but bypassed,General risk reasoning only,MORE_QUALIFIED,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,no prespecified termination trigger is supplied
S055,deepseek_v4_flash,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,UNANSWERABLE -> UNANSWERABLE,No demonstrable use of E01-E03,M1 USED_FOR_CURRENT_DISPOSITION in both; RAG does not cite E03,NONE,UNCHANGED,NOT_USED,COMPLIANT,NONE,NO_DEMONSTRABLE_EVIDENCE_USE,RAW: no rule or constraint that mandates a specific action among the three options; RAG: no rule or constraint that mandates a specific option among the three; all options are equally defensible
S055,meta_muse_30b,UNANSWERABLE,UNANSWERABLE,DETERMINISTIC,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,UNANSWERABLE -> UNANSWERABLE,+E01 +E02 +E03,M1 used for current disposition in both,NONE,MORE_QUALIFIED,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,Multiple immediate dispositions remain defensible
S056,qwen38_flagship,ANSWERABLE,REJECT,REGULATORY,ANSWERABLE,REJECT_WITH_ALTERNATIVE,REGULATORY,REJECT -> REJECT_WITH_ALTERNATIVE,+E02 +E03; E01 retained,M1 used in both; M2 not mentioned,G: general controlled-airspace authorization premise not supplied as same-source rule,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,Grid eligibility for automatic approval does not constitute actual approval
S056,glm52_flagship,ANSWERABLE,REJECT,REGULATORY,ANSWERABLE,REJECT_WITH_ALTERNATIVE,REGULATORY,REJECT -> REJECT_WITH_ALTERNATIVE,+E02 +E03,M1 used in both; M2 not mentioned,G: general controlled-airspace authorization premise not supplied as same-source rule,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,grid eligibility alone does not establish approval
S056,deepseek_v4_flash,ANSWERABLE,REJECT,DETERMINISTIC,ANSWERABLE,REJECT,DETERMINISTIC,REJECT -> REJECT,E03 repeats K3; E02 not used,M1 used in both; M2 not mentioned,G: general no-authorization-no-launch premise,UNCHANGED,MENTION_ONLY,COMPLIANT,NONE,EVIDENCE_MENTION_ONLY,"Evidence card E03: no approval message, authorization number, or approved time window"
S056,meta_muse_30b,ANSWERABLE,REJECT,REGULATORY,ANSWERABLE,CONDITIONAL_APPROVE,REGULATORY,REJECT -> CONDITIONAL_APPROVE,E03 repeats K3,M1 changed from reason to reject into a pre-launch condition,G: general authorization premise,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,EVIDENCE_MISUSED,which is a curable pre-launch condition
S057,qwen38_flagship,ANSWERABLE,DEFER_DECISION,INTERPRETIVE,ANSWERABLE,DEFER_DECISION,MIXED,DEFER_DECISION -> DEFER_DECISION,+E01 +E02 +E03; K2-K3 retained,M1-M2 used in both,RAW unsupported no-design-flaw claim removed,MORE_QUALIFIED,DECISION_LINKED,MIXED,RAW:OC_CASEFACT,ACTION_UNCHANGED_REASON_CHANGED,RAW: addressable evidentiary gaps rather than fundamental design flaws
S057,glm52_flagship,ANSWERABLE,DEFER_DECISION,REGULATORY,ANSWERABLE,DEFER_DECISION,MIXED,DEFER_DECISION -> DEFER_DECISION,+E01; E02-E03 listed without substantive explanation,M1-M2 used in both,NONE,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,E01 indicates actual impact energy could substantially exceed 80 J
S057,deepseek_v4_flash,ANSWERABLE,DEFER_DECISION,INTERPRETIVE,ANSWERABLE,DEFER_DECISION,DETERMINISTIC,DEFER_DECISION -> DEFER_DECISION,+E01 +E02 +E03; K2-K3 retained,M1-M2 used in both,NONE,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,"historical failures, but no data for this proposal"
S057,meta_muse_30b,ANSWERABLE,DEFER_DECISION,INTERPRETIVE,ANSWERABLE,DEFER_DECISION,REGULATORY,DEFER_DECISION -> DEFER_DECISION,No substantive use of E01-E03,M1-M2 used in both,NONE,UNCHANGED,NOT_USED,COMPLIANT,NONE,NO_DEMONSTRABLE_EVIDENCE_USE,no system-specific evidence
S058,qwen38_flagship,ANSWERABLE,DEFER_DECISION,INTERPRETIVE,ANSWERABLE,DEFER_DECISION,DETERMINISTIC,DEFER_DECISION -> DEFER_DECISION,E03 restates K3,M1-M2 used in both,NONE,UNCHANGED,MENTION_ONLY,COMPLIANT,NONE,EVIDENCE_MENTION_ONLY,no evidence that concurrent monitoring is infeasible
S058,glm52_flagship,ANSWERABLE,DEFER_DECISION,INTERPRETIVE,ANSWERABLE,DEFER_DECISION,INTERPRETIVE,DEFER_DECISION -> DEFER_DECISION,E03 restates K3,M1-M2 used in both,NONE,UNCHANGED,MENTION_ONLY,COMPLIANT,NONE,EVIDENCE_MENTION_ONLY,lacks critical information on fleet capacity
S058,deepseek_v4_flash,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,ANSWERABLE,DEFER_DECISION,DETERMINISTIC,UNANSWERABLE -> DEFER_DECISION,E03 and result definition organize K3,M1-M2 used for missing-information disposition in both,NONE,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,RAW: making it impossible to determine; RAG: the decision is deferred
S058,meta_muse_30b,UNANSWERABLE,UNANSWERABLE,DETERMINISTIC,ANSWERABLE,DEFER_DECISION,DETERMINISTIC,UNANSWERABLE -> DEFER_DECISION,+E01 +E02 +E03; K3 retained,M1-M2 used for missing-information disposition in both,NONE,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,"no fleet capacity, endurance, coverage, communications, risk comparison, or feasibility"
